root,meaning_zh,sample_words,teaching_note
bio,生命,biology; biography; antibiotic,看到 bio 先想到生命與身體，適合連到健康與人物故事。
tele,遠,telephone; television; telescope,tele 就是遠方，電話和電視都把遠方帶到眼前。
auto,自己,automatic; autobiography; automobile,auto 跟自己有關，看到它可先猜自動或自己的意思。
photo,光,photo; photography; photosynthesis,photo 是光，照片和植物行光合作用都需要光。
port,攜帶或運送,import; export; transport,port 像把東西搬來搬去，進口出口運輸都很好記。
spect,看,inspect; respect; spectator,spect 跟看有關，檢查是往裡看，觀眾是在旁邊看。
scrib/script,寫,describe; script; prescription,script 跟寫有關，劇本和處方都是寫下來的內容。
dict,說,dictionary; predict; dictation,dict 跟說有關，字典像在告訴你字的意思。
form,形狀或形成,form; reform; transform,form 是形狀，reform 是重新形成，transform 是改變形態。
vis/vid,看見,vision; video; visible,vis 和 vid 都跟看見有關，影片和視覺很好連結。
aud,聽,audio; audience; audition,aud 跟聽有關，音訊和觀眾都需要聽。
phon,聲音,phone; microphone; phonics,phon 是聲音，phone 電話就是傳聲音的工具。
graph,寫或畫,graphic; photograph; autograph,graph 跟寫畫有關，簽名和照片都可連到記錄。
log/logy,說明或學問,biology; psychology; dialogue,logy 常表示學問，適合幫學生看懂科目名稱。
micro,小,microscope; microwave; microphone,micro 是很小，顯微鏡就是看很小的東西。
scope,看或範圍,telescope; microscope; periscope,scope 像觀看工具，也可表示範圍。
therm,熱,thermometer; thermal; thermostat,therm 跟熱有關，溫度計和保溫都可連結。
hydro,水,hydrogen; hydrate; hydroelectric,hydro 是水，適合連到喝水與水力發電。
aqua,水,aquarium; aquatic; aquaculture,aqua 也是水，水族館和水上活動很好記。
geo,地球或土地,geography; geology; geometry,geo 跟土地地球有關，地理地質都看得到。
terra,土地,territory; terrace; terrestrial,terra 是土地，常出現在地面和領土相關單字。
astro,星星或太空,astronaut; astronomy; astrology,astro 跟星空有關，太空人和天文都好理解。
solar,太陽,solar; solarium; solarize,solar 跟太陽有關，可連到太陽能。
chron,時間,chronology; chronic; synchronize,chron 跟時間有關，慢性病是拖很久的病。
temp,時間,temporary; contemporary; tempo,temp 常跟時間有關，temporary 是暫時的。
meter/metr,測量,thermometer; centimeter; geometry,meter 是測量，公分和溫度計都可以拆。
cent,一百,century; percent; centimeter,cent 是一百，世紀和百分比都很直覺。
mill,一千,millennium; millimeter; millionaire,mill 是一千，千禧年和百萬富翁都可連結。
tri,三,triangle; tricycle; trilogy,tri 是三，三角形和三輪車最容易記。
bi/bin,二,bicycle; bilingual; binary,bi 是二，雙語就是兩種語言。
uni,一,unicycle; uniform; universe,uni 是一或統一，制服就是大家看起來一致。
multi,多,multiple; multicultural; multimedia,multi 是很多，多媒體和多元文化都常見。
mono,單一,monologue; monopoly; monochrome,mono 是單一，獨白就是一個人說話。
poly,多,polygon; polyglot; polyester,poly 也是多，多邊形就是很多邊。
dem,人民,democracy; demographic; epidemic,dem 跟人民有關，民主就是人民作主。
arch,統治或主要,monarch; architect; archive,arch 有主要或管理的意思，建築師是規劃者。
anthrop,人類,anthropology; philanthropy; anthropologist,anthrop 跟人類有關，適合連到社會與文化。
psych,心靈,psychology; psychiatrist; psychic,psych 跟心理有關，心理學很好切入。
path,感受或疾病,empathy; sympathy; pathology,path 可指感受也可指疾病，要用例字判斷。
phil,愛,philosophy; philanthropy; bibliophile,phil 是愛，哲學是愛智慧。
soph,智慧,philosophy; sophisticated; sophomore,soph 跟智慧有關，philosophy 可拆成愛智慧。
cred,相信,credit; credible; incredible,cred 跟相信有關，信用就是別人相信你。
fid,信任,confident; fidelity; fiduciary,fid 也跟信任有關，confidence 是有信心。
ver,真實,verify; verdict; veracity,ver 跟真實有關，verify 是確認真假。
cert,確定,certain; certificate; certify,cert 跟確定有關，證書就是確認資格。
prob,測試或證明,probable; prove; probe,prob 跟試一試或證明有關，可連到機率。
test,測試,test; attest; contest,test 就是測試，contest 是一起比試。
luc/lum,光,light; lucid; illuminate,lum 和 luc 跟光有關，illuminate 是照亮。
clar,清楚,clear; clarify; declaration,clar 跟清楚有關，clarify 是把事情講清楚。
voc/vok,聲音或呼喚,vocal; vocabulary; invoke,voc 跟聲音有關，vocabulary 是你會說出的字。
clam/claim,呼喊,exclaim; proclaim; claim,claim 跟大聲說出有關，也延伸成主張。
mem,記憶,memory; remember; memorial,mem 跟記憶有關，memorial 是紀念物。
mind/ment,心智,mental; mention; remind,ment 常跟心智或動作結果有關，初學先看例字。
cord/cour,心,record; courage; cordial,cord 跟心有關，courage 是心裡有勇氣。
corp,身體,corporation; corpse; corporal,corp 跟身體有關，公司像一個法人身體。
manu,手,manual; manufacture; manuscript,manu 是手，手冊和手稿都可連結。
ped/pod,腳,pedal; pedestrian; tripod,ped 跟腳有關，行人和踏板都好記。
cap/capt,抓或拿,capture; capable; caption,cap 有抓取或掌握的感覺，capture 是捕捉。
ten/tain,拿住或保持,contain; maintain; retain,tain 跟拿住有關，保持就是一直抓住不放。
tract,拉,attract; contract; subtract,tract 是拉，attract 是吸引過來。
press,壓,pressure; express; compress,press 是壓，壓力和壓縮都很直接。
ject,丟,project; reject; inject,ject 是丟，project 是往前丟出一個計畫。
mit/miss,送,transmit; submit; mission,mit 和 miss 跟送出有關，mission 是被派出去的任務。
mov/mot,移動,move; motion; motivate,mot 跟移動有關，motivate 是推動一個人行動。
mob,移動,mobile; automobile; mobility,mob 跟可移動有關，手機 mobile phone 很常用。
curr/curs,跑,course; current; cursor,curr 跟跑或流動有關，current 是水流電流或現在趨勢。
gress,走,progress; congress; aggressive,gress 是走，progress 是往前走。
ced/ceed/cess,走或讓步,proceed; success; access,ceed 和 cess 常表示走向某處。
ven/vent,來,prevent; event; adventure,vent 跟來有關，event 是來到眼前的事件。
loc,地方,local; location; relocate,loc 是地方，location 就是位置。
sta/stat,站,station; stable; status,sta 是站住，stable 是穩定。
struct,建造,structure; construct; instruction,struct 是建造，instruction 是一步步建立理解。
fact/fect,做,factory; effect; perfect,fact 和 fect 跟做成有關，factory 是做東西的地方。
fac/fic,做或使,facilitate; artificial; efficient,fac 常有做或使成為的意思。
oper,工作,operate; cooperate; operation,oper 跟工作或操作有關，cooperate 是一起工作。
labor,工作,labor; collaborate; laboratory,labor 是工作，實驗室是做研究工作的地方。
doc/doct,教,doctor; doctrine; document,doc 跟教導或文件有關，doctor 原有受教者意思。
duc/duct,帶領,educate; conduct; introduce,duc 是帶領，educate 是把能力引導出來。
pel/puls,推,compel; pulse; impulse,pel 和 puls 跟推動有關，impulse 是心裡一股衝動。
flu,流,fluent; influence; fluid,flu 是流，fluent 是說話像水一樣流暢。
rupt,破,interrupt; erupt; corrupt,rupt 是破裂，interrupt 是打斷。
frag/fract,破碎,fragment; fracture; fragile,fract 和 frag 跟破碎有關，骨折 fracture 很好記。
sect,切,section; insect; dissect,sect 是切，section 是切出來的一段。
part,部分,part; depart; participate,part 是部分，也可延伸成分開或參與其中。
join/junct,連接,join; junction; conjunction,junct 跟連接有關，junction 是交會點。
connect/nect,連結,connect; disconnect; connection,nect 跟連結有關，適合連到人際和網路。
solv/solut,解開,solve; solution; dissolve,solv 是解開，solution 是解法。
liber,自由,liberty; liberate; liberal,liber 是自由，liberate 是使自由。
equ,平等或相等,equal; equation; adequate,equ 是相等，equation 是等式。
just,正義或正確,justice; adjust; justify,just 跟正確或公平有關，adjust 是調到正確位置。
leg/lect,讀或選,lecture; select; collect,lect 跟讀或選有關，lecture 是講課。
leg,法律,legal; legislate; legitimate,leg 也可跟法律有關，要看單字脈絡。
reg,統治或規則,regular; regulate; region,reg 跟規則和管理有關，regular 是有規律。
norm,標準,normal; enormous; norm,norm 是標準，normal 是符合標準。
mod,方式或尺度,model; modern; modify,mod 跟模式或調整有關，modify 是修改。
art,技術或藝術,artist; artificial; artifact,art 跟技術和藝術有關，人工的也是人做出來的技術。
gen,產生或出生,gene; generate; generation,gen 跟出生或產生有關，generation 是一代人。
nat,出生,nature; native; nation,nat 跟出生有關，native 是出生在當地的。
viv/vit,生命,vivid; survive; vitamin,viv 和 vit 跟生命有關，vitamin 是維持生命的營養。
mort,死亡,mortal; immortal; mortgage,mort 跟死亡有關，immortal 是不死的。
